Age,Accu,PureAccu,RepAccu,SwiAccu,PureRT,RepRT,SwiRT,V2Vp,A2Vp,A2Ap,V2Ap,Vonlyp,Aonlyp,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,MSEvp,MSEap,MSEvr,MSEar,MSEvs,MSEas,PureYesPrime,PureYesUnprimed,RepYesPrime,RepYesUnprimed,SwiYesPrime,SwiYesUnprimed,PureComm,RepComm,SwiComm,PureOm,RepOm,SwiOm,PureCommRT,RepCommRT,SwiCommRT,PureNoPrimeErr,PureNoUnprimedErr,RepNoPrimeErr,RepNoUnprimedErr,SwiNoPrimeErr,SwiNoUnprimedErr,PureRspRep,PureRspSing,RepRspRep,RepRspSing,SwiRspRep,SwiRspSing
A,99.3243,100,100,96,675.6096,852.7446,806.24,640.025,656.055,638.546,763.35,655.196,NaN,800.7114,824.3717,974.1929,677.2133,778.9412,NaN,935.92,1004.7967,728.17,1246.7,668.055,NaN,16.03,124.804,23.6602,-296.9795,68.8767,518.53,648.4671,717.8311,820.4868,887.8074,813.54,802.59,0,0,0.04,0,0,0,NaN,NaN,653.8,0,0,0,0,0.125,0,685.0024,648.9967,822.43,908.0241,885.4627,588.3775
A,98.6486,100,98.6667,96,729.6913,778.4471,1014.4687,558.515,595.585,654.29,974.9617,706.254,NaN,618.9329,675.0633,859.2729,802.2033,907.1975,NaN,819.17,1272.2167,1202.32,1397.2,817.66,NaN,37.07,320.6717,56.1305,-57.0695,453.0467,194.88,652.3871,849.9422,705.836,857.3722,1225.99,908.708,0,0.013333,0.04,0,0,0,NaN,558.12,829.72,0,0,0,0.026316,0.125,0,738.0265,706.075,688.2603,928.7583,1073.7473,851.4525
A,97.2973,100,97.3333,92,1462.2722,1108.333,1077.9921,1485.655,1099.25,1375.36,1943.6333,1084.208,NaN,1012.0871,1166.41,1151.2914,784.87,1038.3238,NaN,1358.1,1123.88,1778.7,NaN,934.625,NaN,-386.405,568.2733,154.3229,-366.4214,-234.22,NaN,1313.7686,1693.2778,1048.5204,1179.5386,983.445,1115.811,0,0,0.04,0,0.026667,0.04,NaN,NaN,778.49,0,0,0,0,0,0.058824,1569.3953,1158.7567,1030.0656,1219.5553,1202.813,765.94
A,98.6486,94.4444,100,100,923.0473,990.9921,1097.8153,778.62,754.905,933.452,1154.15,799.7125,NaN,762.4086,886.645,1051.5443,1135.3067,884.5362,NaN,1286.3,1212.32,1285.36,1052.4,750.545,NaN,-23.715,220.698,124.2364,83.7624,-73.98,-232.96,854.0777,1022.67,940.9464,1045.3896,1010.252,1141.597,0.027778,0,0,0.027778,0,0,829.41,NaN,NaN,0,0.066667,0,0,0,0,953.9088,818.118,934.6413,1084.91,1162.0882,921.065
A,97.973,100,98.6667,92,1108.84,829.7798,929.1113,1368.35,668.185,946.778,1315.2733,996.344,NaN,843.33,784.3783,882.0371,605.8933,871.3825,NaN,940.66,795.5867,1951.135,757.93,1034.505,NaN,-700.165,368.4953,-58.9517,-276.1438,-145.0733,-1193.205,1078.6721,1155.7678,786.566,876.7513,794.31,996.512,0,0.013333,0.08,0,0,0,NaN,1446.2,1034.835,0,0,0.027027,0,0.25,0,1143.2529,1011.3367,771.8319,935.4494,969.2064,818.85
A,99.3243,100,100,96,760.2748,904.7565,840.4271,635.7475,814.485,827.612,828.55,609.16,NaN,922.7971,915.445,1003.0571,938.9233,824.7987,NaN,952.9,741.03,778.57,1124,872.44,NaN,178.7375,0.938,-7.3521,-64.1338,-211.87,345.43,738.5079,794.1344,913.9376,894.777,939.79,785.2256,0,0,0,0,0,0.04,NaN,NaN,NaN,0,0,0,0,0,0,781.2541,700.8333,886.8428,932.0984,804.167,931.0775
A,97.2973,97.2222,96,100,678.3265,517.0444,467.1573,491.5475,586.905,919.76,685.415,485.864,NaN,447.6971,510.4833,547.7114,497.92,548.1925,NaN,520.25,528.7433,488.325,619.49,453.01,NaN,95.3575,-234.345,62.7862,-49.7914,8.4933,131.165,707.6164,632.7644,482.9968,554.0526,486.844,457.314,0.027778,0.04,0,0,0,0,554.03,398.8467,NaN,0.047619,0,0.027027,0.052632,0,0,697.1347,625.0367,489.7744,571.5844,469.8673,459.705
A,96.6216,100,97.3333,92,1215.1357,1061.0683,1250.7173,1055.1725,1012.185,889.704,1353.6617,1445.754,NaN,887.1071,1401.4017,1110.9886,1276.2067,1160.11,NaN,1391.9,1336.7667,1051.965,1432.3,1406.85,NaN,-42.9875,463.9577,514.2945,165.2181,-55.1333,380.335,1080.7771,1424.1378,942.7484,1195.5227,1358.7,1196.726,0,0.013333,0.08,0,0.013333,0,NaN,1160.9,1188.675,0,0,0,0.026316,0,0.11765,1106.4094,1463.6529,1030.4428,1110.4094,1221.4327,1331.25
A,97.973,100,96,100,693.4455,773.3815,827.9662,512.51,647.82,972.06,755.7567,568.8525,NaN,536.44,679.6871,910.1433,814.685,755.9557,NaN,746.53,796.26,1326.5,786.16,NaN,NaN,135.31,-216.3033,143.2471,-95.4583,49.73,-540.34,721.3964,665.4945,733.402,818.8127,791.21,834.6491,0,0.026667,0,0,0.013333,0,NaN,610.135,NaN,0,0,0,0.047619,0,0,723.3633,629.3357,710.7477,850.9281,774.7244,947.76
A,93.2432,97.2222,94.6667,80,772.27,616.2141,667.5607,479.7925,656.1,1058.266,912.0233,559.91,NaN,495.45,591.15,641.1686,720.71,645.9887,NaN,720.43,596.2733,689.775,930.83,571.86,NaN,176.3075,-146.2427,95.7,79.5414,-124.1567,241.055,746.8679,811.7844,580.0196,659.3029,623.944,689.369,0.027778,0.026667,0.2,0,0.026667,0,581.85,535.94,680.692,0,0.066667,0,0.052632,0.125,0.23529,823.2259,627.895,597.5847,658.7957,715.4055,535.9875
